epoch,lr,step,train_loss,val_loss
0,9.999999747378752e-06,0,,
0,1.0563139767327812e-05,1,,
0,1.1126279787276872e-05,2,,
0,1.1689419807225931e-05,3,,
0,1.2252559827174991e-05,4,,
0,1.2815699847124051e-05,5,,
0,1.3378839867073111e-05,6,,
0,1.3941979887022171e-05,7,,
0,1.4505119906971231e-05,8,,
0,1.506825901742559e-05,9,,
0,1.563139994686935e-05,10,,
0,1.619453905732371e-05,11,,
0,1.675767998676747e-05,12,,
0,1.732081909722183e-05,13,,
0,1.7883958207676187e-05,14,,
0,1.844709913711995e-05,15,,
0,1.9010238247574307e-05,16,,
0,1.957337917701807e-05,17,,
0,2.0136518287472427e-05,18,,
0,2.069965921691619e-05,19,,
0,2.1262798327370547e-05,20,,
0,2.182593925681431e-05,21,,
0,2.2389078367268667e-05,22,,
0,2.295221929671243e-05,23,,
0,2.3515358407166786e-05,24,,
0,2.4078497517621145e-05,25,,
0,2.4641638447064906e-05,26,,
0,2.5204777557519265e-05,27,,
0,2.5767918486963026e-05,28,,
0,2.6331057597417384e-05,29,,
0,2.6894198526861146e-05,30,,
0,2.7457337637315504e-05,31,,
0,2.8020478566759266e-05,32,,
0,2.8583617677213624e-05,33,,
0,2.9146756787667982e-05,34,,
0,2.9709897717111744e-05,35,,
0,3.0273036827566102e-05,36,,
0,3.0836177757009864e-05,37,,
0,3.1399318686453626e-05,38,,
0,3.196245597791858e-05,39,,
0,3.252559690736234e-05,40,,
0,3.3088737836806104e-05,41,,
0,3.3651878766249865e-05,42,,
0,3.421501605771482e-05,43,,
0,3.477815698715858e-05,44,,
0,3.534129791660234e-05,45,,
0,3.59044352080673e-05,46,,
0,3.646757613751106e-05,47,,
0,3.703071706695482e-05,48,,
0,3.759385799639858e-05,49,,
0,3.815699528786354e-05,50,,
0,3.87201362173073e-05,51,,
0,3.928327714675106e-05,52,,
0,3.984641807619482e-05,53,,
0,4.040955536765978e-05,54,,
0,4.097269629710354e-05,55,,
0,4.15358372265473e-05,56,,
0,4.2098974518012255e-05,57,,
0,4.266211544745602e-05,58,,
0,4.322525637689978e-05,59,,
0,4.378839730634354e-05,60,,
0,4.4351534597808495e-05,61,,
0,4.491467552725226e-05,62,,
0,4.547781645669602e-05,63,,
0,4.604095738613978e-05,64,,
0,4.6604094677604735e-05,65,,
0,4.7167235607048497e-05,66,,
0,4.773037653649226e-05,67,,
0,4.829351382795721e-05,68,,
0,4.8856654757400975e-05,69,,
0,4.9419795686844736e-05,70,,
0,4.99829366162885e-05,71,,
0,5.054607390775345e-05,72,,
0,5.1109214837197214e-05,73,,
0,5.1672355766640976e-05,74,,
0,5.223549669608474e-05,75,,
0,5.279863398754969e-05,76,,
0,5.3361774916993454e-05,77,,
0,5.3924915846437216e-05,78,,
0,5.448805313790217e-05,79,,
0,5.505119406734593e-05,80,,
0,5.5614334996789694e-05,81,,
0,5.6177475926233456e-05,82,,
0,5.674061321769841e-05,83,,
0,5.730375414714217e-05,84,,
0,5.7866895076585934e-05,85,,
0,5.843003236805089e-05,86,,
0,5.899317329749465e-05,87,,
0,5.955631422693841e-05,88,,
0,6.011945515638217e-05,89,,
0,6.068259244784713e-05,90,,
0,6.12457370152697e-05,91,,
0,6.180887430673465e-05,92,,
0,6.23720115981996e-05,93,,
0,6.293515616562217e-05,94,,
0,6.349829345708713e-05,95,,
0,6.406143074855208e-05,96,,
0,6.462457531597465e-05,97,,
0,6.518771260743961e-05,98,,
0,6.575084989890456e-05,99,,
0,6.631399446632713e-05,100,,
0,6.687713175779209e-05,101,,
0,6.744027632521465e-05,102,,
0,6.800341361667961e-05,103,,
0,6.856655090814456e-05,104,,
0,6.912969547556713e-05,105,,
0,6.969283276703209e-05,106,,
0,7.025597005849704e-05,107,,
0,7.081911462591961e-05,108,,
0,7.138225191738456e-05,109,,
0,7.194538920884952e-05,110,,
0,7.250853377627209e-05,111,,
0,7.307167106773704e-05,112,,
0,7.363481563515961e-05,113,,
0,7.419795292662457e-05,114,,
0,7.476109021808952e-05,115,,
0,7.532423478551209e-05,116,,
0,7.588737207697704e-05,117,,
0,7.6450509368442e-05,118,,
0,7.701365393586457e-05,119,,
0,7.757679122732952e-05,120,,
0,7.813992851879448e-05,121,,
0,7.870307308621705e-05,122,,
0,7.9266210377682e-05,123,,
0,7.982935494510457e-05,124,,
0,8.039249223656952e-05,125,,
0,8.095562952803448e-05,126,,
0,8.151877409545705e-05,127,,
0,8.2081911386922e-05,128,,
0,8.264504867838696e-05,129,,
0,8.320819324580953e-05,130,,
0,8.377133053727448e-05,131,,
0,8.433446782873943e-05,132,,
0,8.4897612396162e-05,133,,
0,8.546074968762696e-05,134,,
0,8.602389425504953e-05,135,,
0,8.658703154651448e-05,136,,
0,8.715016883797944e-05,137,,
0,8.7713313405402e-05,138,,
0,8.827645069686696e-05,139,,
0,8.883958798833191e-05,140,,
0,8.940273255575448e-05,141,,
0,8.996586984721944e-05,142,,
0,9.052900713868439e-05,143,,
0,9.109215170610696e-05,144,,
0,9.165528899757192e-05,145,,
0,9.221843356499448e-05,146,,
0,9.278157085645944e-05,147,,
0,9.33447081479244e-05,148,,
0,9.390785271534696e-05,149,,
0,9.447099000681192e-05,150,,
0,9.503412729827687e-05,151,,
0,9.559727186569944e-05,152,,
0,9.61604091571644e-05,153,,
0,9.672354644862935e-05,154,,
0,9.728669101605192e-05,155,,
0,9.784982830751687e-05,156,,
0,9.841297287493944e-05,157,,
0,9.89761101664044e-05,158,,
0,9.953924745786935e-05,159,,
0,0.00010010239202529192,160,,
0,0.00010066552931675687,161,,
0,0.00010122866660822183,162,,
0,0.0001017918111756444,163,,
0,0.00010235494846710935,164,,
0,0.00010291808575857431,165,,
0,0.00010348123032599688,166,,
0,0.00010404436761746183,167,,
0,0.00010460750490892678,168,,
0,0.00010517064947634935,169,,
0,0.00010573378676781431,170,,
0,0.00010629693133523688,171,,
0,0.00010686006862670183,172,,
0,0.00010742320591816679,173,,
0,0.00010798635048558936,174,,
0,0.00010854948777705431,175,,
